DNI;Nombre;Apellido1;Apellido2;Direccion;Poblado;Correo;Telefono;FechaNacimiento;TipoCarnet;FechaCarnet
21987229B;Ana Nuria;Mory;Ortiz;Paseo Lope de Vega, N 156, 69676;Sotosombras del Lago;AMory@servcorreo.uctreseme.edu;555153476;2016-16-16;B;2016-16-16
55754166G;Adela;Machon;Bertolotti;Paseo de la Lana, N 179, 11257;Atalaya de Abajo;None;555206262;1927-27-27;C;1927-27-27
31411702G;Aspasio;Pachas;Aquino;Plaza de la Bayeta, N 7, 85064;La Granja de los Ciervos;None;555972911;1925-25-25;B;1925-25-25
04224805G;Samanta;Ampuero;Huaraca;Travesia del Lago, N 101, 17715;Sotonieblas del Robledal;Sami@servcorreo.uctreseme.edu;None;2022-22-22;B;2022-22-22
36259246E;Regina Henar;Camarena;Cieza;Plaza del Puente, N 127, 53794;Villaseca;R.C.@servcorreo.uctreseme.edu;555801750;8-08-08;B;8-08-08
40648481Y;Maria de la Consolacion;Morales;Marca;Paseo Murillo, N 148, 61017;Sotorriba;None;None;2019-19-19;C;2019-19-19
95875344M;Andres;Matos;Osorio;Calle Curtidores, N 161, 61231;Sierra de los Trigos;None;555622987;1-01-01;D1;1-01-01
29525918J;Zacarias;Sanchez;Sanz;Plaza de la Dalia, N 107, 11546;Sototripas del Torreon;Zaci@servcorreo.uctreseme.edu;555327173;1928-28-28;D1;1928-28-28
49078455C;Autonomo;Cantaro;Shardin;Calle de las Violetas, N 167, 75976;Villalemures de los Castillos;Auti@servcorreo.uctreseme.edu;555036852;2-02-02;B;2-02-02
81207757R;M. Margarita;Gayoso;Paja;Paseo Pastores, N 135, 58663;Mogote de las Tripas;Margui@servcorreo.uctreseme.edu;555729280;2014-14-14;B;2014-14-14
25877835Y;Fernando Rafael;Fuentes;Concepcion;Plaza del Roble, N 50, 86353;Villatorres;None;555552600;2018-18-18;D1;2018-18-18
22117400W;Jordana;Lopez;Taramona;Travesia Santa Teresa, N 30, 64541;Villapiedras del Rio;None;None;2020-20-20;B;2020-20-20
04906297Y;Maria de la Presentacion;Malca;Bustos;Travesia de los Narcisos, N 2, 48440;Valfrios;Presi@servcorreo.uctreseme.edu;555253195;9-09-09;C1;9-09-09
21582390H;Celiano;Mayo;Ruiz;Avenida Curtidores, N 70, 61567;Villagris de Manteca;Pinturajas@servcorreo.uctreseme.edu;555288000;1927-27-27;B;1927-27-27
98585779M;Feliciano;Acuna;Pelaez;Plaza del Terciopelo, N 111, 28150;Sierra del Secano;Feliciano@servcorreo.uctreseme.edu;555283261;2018-18-18;C1;2018-18-18
25819562S;Alfredo;Llaja;Solis;Calle del Pedragal, N 141, 63278;Bercial de las Tripas;None;555308934;2011-11-11;D;2011-11-11
88900195C;Maria Jose;Sanchez;Uribe;Plaza de los Jazmines, N 64, 91818;Valguijarros del Pinar;Sanch@servcorreo.uctreseme.edu;555419022;1927-27-27;B;1927-27-27
47614918L;Ana Octavia;Ipurre;Lopez;Plaza Curtidores, N 169, 86618;Villacalores del Pinar;ILopez@servcorreo.uctreseme.edu;555620989;2015-15-15;B;2015-15-15
46197994X;Carlos;Avendano;Delgado;Calle Carpinteros, N 199, 72686;Sototorres de Arriba;Delgui@servcorreo.uctreseme.edu;None;1925-25-25;B;1925-25-25
70106310X;Agustin;Ventura;Aguilera;Paseo del Sello, N 58, 17238;Sotopinares de las Setas;None;555300524;2010-10-10;B;2010-10-10
12035677F;Maribel;Arriola;Cruz;Travesia del Lino, N 6, 69969;Valpinares;MArriola@servcorreo.uctreseme.edu;None;2015-15-15;C1;2015-15-15
47285810H;Rosaura;Ruiz;Chacon;Calle Miguel Delibes, N 79, 36324;Valgris;None;555146355;1929-29-29;B;1929-29-29
55533072D;Juan;Martinez;Galdos;Calle del Embalse, N 24, 49193;Valsopas;None;555943288;1930-30-30;B;1930-30-30
15928484H;Bautista;Navarro;Nunez;Avenida del Alcazar, N 54, 96072;Nava de la Costa;None;555039514;2023-23-23;B;2023-23-23
37616247T;Lulu;Lomer;Valencia;Avenida de los Pensamientos, N 178, 93819;Villasombras;Luli@servcorreo.uctreseme.edu;None;2016-16-16;B;2016-16-16
22674835D;Aleth;Ibarra;Cortez;Calle Azorin, N 47, 42277;Villatrigos del Canto Rodao;None;None;2014-14-14;B;2014-14-14
97334824C;Dimas;Bernedo;Frias;Paseo de la Rosa, N 98, 88820;Mogote del Rio;Tron@servcorreo.uctreseme.edu;555836074;1926-26-26;B;1926-26-26
65871451A;Maria de la Soledad;Frias;Perez;Calle del Pedragal, N 133, 96403;Sotopinares de la Torre;Maria@servcorreo.uctreseme.edu;555807274;2015-15-15;C;2015-15-15
36071957E;Rosa Liliana;Quintanilla;Porras;Travesia Mayor, N 199, 73929;Villadebajo;None;555387900;2014-14-14;B;2014-14-14
65572592Y;Maria Sagrario;Gonzalez;Sanchez;Avenida de los Jazmines, N 76, 52346;Tabanera de la Noceda;Sagri@servcorreo.uctreseme.edu;555763949;1930-30-30;B;1930-30-30
33300126J;Benito;Villanueva;Schmitt;Plaza del Lino, N 104, 64503;Sotosetas;Manas@servcorreo.uctreseme.edu;None;2018-18-18;B;2018-18-18
62793298D;Nicolas;Canasa;Cuy;Paseo del Parque, N 46, 90640;Ciudad del Lago;Nici@servcorreo.uctreseme.edu;555623324;2020-20-20;B;2020-20-20
78135349W;Oda;Duran;Garcia;Calle de los Narcisos, N 81, 20338;Sotolluvias de las Setas;ODuran@servcorreo.uctreseme.edu;555487529;2018-18-18;B;2018-18-18
80551722H;Betiana;Machon;Cangalaya;Calle del Greco, N 122, 17716;Villasequillo;Betiana@servcorreo.uctreseme.edu;555610755;1-01-01;B;1-01-01
13982887Z;Carla;Hernandez;Trujillo;Calle del Parque, N 101, 35249;Mogote del Viento;None;555610017;2014-14-14;B;2014-14-14
99181271G;Rosa Pandora;Quesquen;Sanz;Plaza Lope de Vega, N 89, 49437;Fuente de los Buhos;None;555899200;2021-21-21;D;2021-21-21
53675847B;Tirso;Zuniga;Rios;Calle de la Bayeta, N 200, 60755;Sotovacas;Tirsi@servcorreo.uctreseme.edu;555881699;2013-13-13;C;2013-13-13
62526264M;Lourdes;Zapata;Veliz;Travesia San Cucufato, N 48, 22903;Valtripas de las Ardillas;Velina@servcorreo.uctreseme.edu;555179301;8-08-08;B;8-08-08
59015527B;Leonardo;Solano;Villavicencio;Travesia del Pedragal, N 81, 31353;Otero de la Solana;None;555535986;2023-23-23;B;2023-23-23
23939454L;Agustin Pedro;Jave;Ancas;Calle de los Narcisos, N 184, 32890;Paramo del Bosque;None;555108366;1928-28-28;B;1928-28-28
07836519M;Carlos Alberto;Sanz;Caso;Paseo San Juan de la Cruz, N 161, 32735;Monte de las Aguas;None;None;2022-22-22;D;2022-22-22
47591599E;Araceli;Bertolotti;Figueroa;Travesia Azorin, N 156, 73929;Villadebajo;None;555774696;2023-23-23;B;2023-23-23
31414734T;Maria Clotilde;Mendoza;Gomez;Avenida de los alamos, N 68, 11006;Sotolemures de la Noceda;Cloty@servcorreo.uctreseme.edu;555654658;1925-25-25;C;1925-25-25
21371673G;Maria de la Cruz;Rodriguez;Lopez;Travesia del Arroyo, N 172, 47623;Sotoseca;Cruz@servcorreo.uctreseme.edu;None;9-09-09;B;9-09-09
97091580R;Alfonso Carlos;Bolanos;Malaver;Avenida Eduardo Mendoza, N 66, 46320;Paramo del Torreon;None;555674565;2024-24-24;B;2024-24-24
58444159D;Cesar;Arca;Ortiz;Calle del Rancho, N 199, 93784;Hayedo del Lago;Ortiz@servcorreo.uctreseme.edu;555341673;9-09-09;C;9-09-09
30173036A;Secundino;Illescas;Casanova;Travesia San Crispulo, N 152, 67758;Sotodebajo;Seci@servcorreo.uctreseme.edu;None;5-05-05;C1;5-05-05
81904772R;Paula;Amable;Aguirre;Paseo San Nicolas, N 93, 57103;Atalaya de los Buhos;None;None;2012-12-12;B;2012-12-12
91725642D;Bernabe;Denegri;Larosa;Plaza del Algodon, N 45, 31599;Tabanera del Nabar;Pastra@servcorreo.uctreseme.edu;None;2022-22-22;B;2022-22-22
94229966R;Azarias;Carrera;Laverio;Travesia del Sello, N 196, 26319;Valtopos del Rio;ALaverio@servcorreo.uctreseme.edu;None;1930-30-30;B;1930-30-30
44230641P;Agustin;Ingaroca;Cortez;Plaza Perez-Reverte, N 166, 67071;Valsolana del Bosque;None;None;2014-14-14;B;2014-14-14
73010468G;Dario;Lopez;Rebaza;Avenida Esteban Vicente, N 71, 65068;Sototejas de Manteca;DLopez@servcorreo.uctreseme.edu;555620557;2019-19-19;C1;2019-19-19
56193398M;Ignacio;Palao;Escobedo;Plaza del Encinar, N 130, 46331;Sotolemures del Canto Rodao;Zete@servcorreo.uctreseme.edu;None;8-08-08;B;8-08-08
29480068W;Maria del Cielo;Wong;Lopez;Plaza del Encinar, N 153, 77653;Sotosolana de Enmedio;Marita@servcorreo.uctreseme.edu;555491611;2021-21-21;C1;2021-21-21
18612682R;Maria Jose;Garcia;Malaver;Travesia de los Toros, N 24, 68540;Praderas del Torreon;Mariña@servcorreo.uctreseme.edu;555965266;2021-21-21;B;2021-21-21
63050842E;Leonardo;Lluque;Lozano;Calle Conan Doyle, N 95, 23747;Valle del Arroyo;Lluqui@servcorreo.uctreseme.edu;555253885;2023-23-23;B;2023-23-23
33254360V;Elias;Ponce;Vazquez;Plaza Hidalgos, N 152, 30490;Serrania de los Caballeros;None;555901287;6-06-06;C;6-06-06
