DNI;Nombre;Apellido1;Apellido2;Direccion;Poblado;Correo;Telefono;FechaNacimiento
21987229B;Ana Nuria;Mory;Ortiz;Paseo Lope de Vega, N 156, 69676;Sotosombras del Lago;AMory@servcorreo.uctreseme.edu;555153476;1991-02-16
73520242Y;Maria de la Visitacion;Champa;Gonzalez;Avenida Cervantes, N 162, 24201;Valtorres de San Guijuelo;CGonzalez@servcorreo.uctreseme.edu;555408595;1975-07-09
49806223E;Lajos;Tenorio;Hidalgo;Calle Chesterton, N 43, 68086;Valcalores;None;555579100;1976-03-24
65572592Y;Maria Sagrario;Gonzalez;Sanchez;Avenida de los Jazmines, N 76, 52346;Tabanera de la Noceda;Sagri@servcorreo.uctreseme.edu;555763949;1955-05-30
06415210G;Enriqueta;Azcarate;Jara;Plaza Santa Teresa, N 137, 70681;Valverde de los Buhos;Jari@servcorreo.uctreseme.edu;None;1965-03-13
40648481Y;Maria de la Consolacion;Morales;Marca;Paseo Murillo, N 148, 61017;Sotorriba;None;None;1981-06-19
95875344M;Andres;Matos;Osorio;Calle Curtidores, N 161, 61231;Sierra de los Trigos;None;555622987;1949-09-01
29525918J;Zacarias;Sanchez;Sanz;Plaza de la Dalia, N 107, 11546;Sototripas del Torreon;Zaci@servcorreo.uctreseme.edu;555327173;1957-02-28
77045444K;Gloria;Barzola;Bardales;Calle del Algodon, N 81, 64774;Villatripas de los Castillos;Torda@servcorreo.uctreseme.edu;555338871;1939-12-17
82883718K;Alejandro Enrique;Francia;Ibarra;Avenida San Cucufato, N 68, 19219;Villamodorros;None;None;1945-09-13
38423370F;Romulo;Denia;Chocano;Plaza del Zoco Chico, N 185, 86530;Valmodorros;Romi@servcorreo.uctreseme.edu;555490339;1974-05-27
22117400W;Jordana;Lopez;Taramona;Travesia Santa Teresa, N 30, 64541;Villapiedras del Rio;None;None;1978-11-20
21582390H;Celiano;Mayo;Ruiz;Avenida Curtidores, N 70, 61567;Villagris de Manteca;Pinturajas@servcorreo.uctreseme.edu;555288000;1981-07-27
20304333W;Ana Brigida;Sanz;Vega;Avenida de los alamos, N 156, 94477;Sierra de los Castillos;None;None;1941-05-06
25819562S;Alfredo;Llaja;Solis;Calle del Pedragal, N 141, 63278;Bercial de las Tripas;None;555308934;1963-03-11
15742171M;Maria de la Consolacion;Garcia;Pomar;Calle del Silo, N 28, 64122;Sotolobos;None;555985301;1961-01-30
47614918L;Ana Octavia;Ipurre;Lopez;Plaza Curtidores, N 169, 86618;Villacalores del Pinar;ILopez@servcorreo.uctreseme.edu;555620989;1954-08-15
44338136R;Benigna;Lezameta;Elescano;Calle de la Iglesia, N 75, 37133;Val de los Ciervos;Elesci@servcorreo.uctreseme.edu;None;1949-07-01
50219461L;Jesus;Cordoba;Triveno;Travesia San Millan, N 9, 79672;Sotoluces del Encinar;Bully@servcorreo.uctreseme.edu;None;1964-04-18
02055702P;Abundancio;Caso;Narvaez;Avenida Santa Ines, N 193, 88706;Serrania del Vertedero;Abund@servcorreo.uctreseme.edu;None;1942-08-05
56651407S;Petra;Carranza;Olea;Calle Santo Tomas, N 30, 67869;Valpiedras;Petri@servcorreo.uctreseme.edu;None;1962-06-24
55533072D;Juan;Martinez;Galdos;Calle del Embalse, N 24, 49193;Valsopas;None;555943288;1966-07-30
15928484H;Bautista;Navarro;Nunez;Avenida del Alcazar, N 54, 96072;Nava de la Costa;None;555039514;1980-05-23
77684051X;Pepi;Ruiz;Puyol;Paseo San Bartolo, N 62, 31105;Valseca;Puyi@servcorreo.uctreseme.edu;555807794;1974-07-24
60305223M;Roberto;Cipriano;Sabas;Calle Hidalgos, N 165, 54603;Sotocastillos de las Tripas;None;None;1961-02-23
05511330R;Ceadas;Granda;Diaz;Calle de los Pensamientos, N 137, 48440;Valfrios;Carpe@servcorreo.uctreseme.edu;555345338;1967-11-07
48906593Z;Amarino;Soto;Baquerizo;Calle del Roble, N 178, 92901;Valvacas de los Ciervos;Nasas@servcorreo.uctreseme.edu;555562373;1946-09-16
78455829T;Alberto Jorge;Marroquin;Hinostroza;Plaza Santa Marta, N 186, 94428;Villapiedras del Cocido;Badabun@servcorreo.uctreseme.edu;555703822;1966-04-07
99181271G;Rosa Pandora;Quesquen;Sanz;Plaza Lope de Vega, N 89, 49437;Fuente de los Buhos;None;555899200;1975-08-21
75969962L;Felix Juan;Marcos;Sanchez;Avenida Jardiel Poncela, N 114, 69969;Valpinares;None;None;1960-09-26
75939906R;Margarita;Carrillo;Nieto;Avenida Santa Teresa, N 3, 31039;Valbajo;None;555575576;1974-12-03
78135349W;Oda;Duran;Garcia;Calle de los Narcisos, N 81, 20338;Sotolluvias de las Setas;ODuran@servcorreo.uctreseme.edu;555487529;1950-11-18
04906297Y;Maria de la Presentacion;Malca;Bustos;Travesia de los Narcisos, N 2, 48440;Valfrios;Presi@servcorreo.uctreseme.edu;555253195;1965-09-09
13982887Z;Carla;Hernandez;Trujillo;Calle del Parque, N 101, 35249;Mogote del Viento;None;555610017;1942-03-14
08375827D;Teobaldo;Ruiz;Claudio;Avenida del Clavel, N 30, 84790;Villatrigos;None;None;1944-09-17
53675847B;Tirso;Zuniga;Rios;Calle de la Bayeta, N 200, 60755;Sotovacas;Tirsi@servcorreo.uctreseme.edu;555881699;1970-04-13
62526264M;Lourdes;Zapata;Veliz;Travesia San Cucufato, N 48, 22903;Valtripas de las Ardillas;Velina@servcorreo.uctreseme.edu;555179301;1980-11-08
59015527B;Leonardo;Solano;Villavicencio;Travesia del Pedragal, N 81, 31353;Otero de la Solana;None;555535986;1978-07-23
25877835Y;Fernando Rafael;Fuentes;Concepcion;Plaza del Roble, N 50, 86353;Villatorres;None;555552600;1972-01-18
90553454Q;Maria de los angeles;Paraguay;Pinas;Paseo Lecheros, N 120, 16856;Hayedo del Jamon;MParaguay@servcorreo.uctreseme.edu;555046665;1939-12-21
79172538Y;Mariano;Saavedra;Lopez;Calle Cazadores, N 156, 71882;Villasopas;MLopez@servcorreo.uctreseme.edu;555158705;1943-05-28
28232810B;Elvira;Meza;Gomez;Travesia del Alcazar, N 116, 79034;Valmodorros de Arriba;Elvika@servcorreo.uctreseme.edu;555198710;1956-11-30
97091580R;Alfonso Carlos;Bolanos;Malaver;Avenida Eduardo Mendoza, N 66, 46320;Paramo del Torreon;None;555674565;1963-12-24
58793740J;Honorata;Alcantara;Lema;Travesia del Encinar, N 23, 12969;Villanieves de la Alameda;Alci@servcorreo.uctreseme.edu;None;1972-11-21
80738207L;Judith;Artica;Peche;Avenida de la Azucena, N 121, 47049;Valluces;None;None;1973-12-19
81904772R;Paula;Amable;Aguirre;Paseo San Nicolas, N 93, 57103;Atalaya de los Buhos;None;None;1942-01-12
49631868F;Andres;Garcia;Ventura;Calle Eduardo Mendoza, N 195, 68184;Valluces de la Alameda;None;None;1947-12-09
97959442G;Jaime Daniel;Palacin;Cuenca;Avenida del Roble, N 20, 71040;Valtripas de la Torre;Daniel@servcorreo.uctreseme.edu;None;1979-09-09
73010468G;Dario;Lopez;Rebaza;Avenida Esteban Vicente, N 71, 65068;Sototejas de Manteca;DLopez@servcorreo.uctreseme.edu;555620557;1993-07-19
